Pool,Amount,Use
Virginia Housing,43%,Affordable rental and homeownership
Industrial Development,25%,Manufacturing and other exempt projects
"Governor's (""state allocation"")",18%,"Housing, manufacturing facilities, and other exempt projects"
Local Housing Authorities,14%,Affordable rental
