Organization,Role
Department of Housing and Community Development,"Virginia's housing and community development agency. Provided staff support, expertise, and program data to support study effort."
Virginia Housing,"Virginia's state housing finance agency. Provided staff support, expertise, and program data to support study effort."
Stakeholder Advisory Group,Affordable housing experts and practitioners from across Virginia recruited to guide and contribute to this report.
HousingForward Virginia,Research and education nonprofit engaged to conduct and draft report.
Secretary of Commerce and Trade,Cabinet-level office responsible for final review of report.
